base,light,fan,solar,net,event
1.372666971,0,0,0,1.372666971,
1.061777413,0,0,0,1.061777413,
1.463226341,0,0,0,1.463226341,
1.091654115,0,0,0,1.091654115,
1.346582099,0,0,-0.0294440211,1.317138078,
1.291607199,2,0,-0.4569705959,2.834636603,
1.037256378,2,0,-0.8028652199,2.234391159,turn light on
1.40906488,2,0,-1.374424777,2.034640103,
1.052353361,2,0,-2.743595445,0.3087579165,
1.354297687,2,0,-3.311512863,0.042784824,
1.045602284,2,3.5,-3.093935463,3.451666821,turn fan on
1.324595028,2,3.5,-3.336943412,3.487651616,
1.015645048,2,3.5,-3.268426342,3.247218706,
1.489118818,2,3.5,-3.065063242,3.924055576,
1.057941801,2,0,-0.0198599967,3.038081804,turn fan off
1.305821551,2,0,0,3.305821551,
1.41776859,2,0,0,3.41776859,
1.366035455,0,0,0,1.366035455,turn light off
1.480724447,0,0,0,1.480724447,
1.372127647,0,0,0,1.372127647,
1.120549828,0,0,0,1.120549828,
1.023687173,0,0,0,1.023687173,
