base,light,fan,solar,net,event
1.187698216,0,0,0,1.187698216,
1.488745908,0,0,0,1.488745908,
1.339311846,0,0,0,1.339311846,
1.206213718,0,0,0,1.206213718,
1.103840133,0,0,0,1.103840133,
1.299347531,0,0,0,1.299347531,
1.002940115,0,0,0,1.002940115,
1.242291961,0,0,0,1.242291961,
1.452594185,0,0,0,1.452594185,
1.252824007,0,0,0,1.252824007,
1.228910429,0,0,0,1.228910429,
1.070818212,0,0,0,1.070818212,
1.42256981,0,0,0,1.42256981,
1.461576786,0,0,0,1.461576786,
1.4920766,0,0,0,1.4920766,
1.448145593,0,0,0,1.448145593,
1.486266121,0,0,0,1.486266121,
1.396083089,0,0,0,1.396083089,
1.335546077,0,0,0,1.335546077,
1.451490015,0,0,0,1.451490015,
1.386026748,0,0,0,1.386026748,
1.379824974,0,0,0,1.379824974,
1.052180927,0,0,-0.029444021,1.022736905,
1.441758452,0,0,-0.188310633,1.253447819,
1.041164467,2,0,-0.325354986,2.715809481,turn light on
1.090738138,2,0,-0.456970596,2.633767542,
1.482716896,2,0,-0.625759408,2.856957487,
1.48515436,2,0,-0.80286522,2.68228914,
1.160293237,2,0,-0.992618155,2.167675082,
1.482763333,2,0,-1.183979489,2.298783845,
1.469151225,2,0,-1.374424777,2.094726448,
1.092757492,2,0,-1.56605691,1.526700582,
1.05453699,2,0,-1.750432903,1.304104087,
1.315121147,2,0,-1.934235328,1.380885819,
1.445686196,2,0,-2.110837614,1.334848582,
1.029093238,2,0,-2.267159991,0.761933247,
1.308733774,2,0,-2.424807295,0.883926479,
1.118526345,2,0,-2.577049672,0.541476674,
1.329980217,2,0,-2.743595445,0.586384773,
1.474815017,2,0,-2.88735536,0.587459657,
1.281303598,2,0,-3.007423096,0.273880502,
1.345133098,2,0,-3.099417775,0.245715323,
1.288269091,2,0,-3.215983893,0.072285198,
1.157940856,2,0,-3.244947097,-0.087006241,
1.250833321,2,0,-3.060352927,0.190480394,
1.183374001,2,0,-3.362187105,-0.178813104,
1.003276821,2,0,-3.491513447,-0.488236625,
1.497196467,2,0,-3.311512863,0.185683604,
1.450310652,2,3.5,-3.093935463,3.856375189,turn fan on
1.473386988,2,3.5,-2.960635964,4.012751025,
1.118902594,2,3.5,-3.561834776,3.057067818,
1.17006513,2,3.5,-3.416262807,3.253802323,
1.49266803,2,3.5,-2.238009288,4.754658742,
1.415572039,2,3.5,-1.568315818,5.347256222,
1.316691186,2,3.5,-3.420333984,3.396357202,
1.392963386,2,3.5,-3.336943412,3.556019974,
1.309101281,2,0,-3.268426342,0.040674939,turn fan off
1.150014959,2,0,-3.14960422,0.000410738,
1.470591195,2,0,-3.065063242,0.405527953,
1.403808978,2,0,-2.934803156,0.469005822,
1.146473506,2,0,-2.799519346,0.346954161,
1.427320045,2,0,-2.663882193,0.763437852,
1.219808915,2,0,-2.522174781,0.697634133,
1.314122418,2,0,-2.367644558,0.946477861,
1.409185313,2,0,-2.199085328,1.210099985,
1.128758709,2,0,-2.027907049,1.10085166,
1.255033414,2,0,-1.846213618,1.408819797,
1.231086935,2,0,-1.663689555,1.567397379,
1.330945816,2,0,-1.479108757,1.85183706,
1.327707756,2,0,-1.293783944,2.033923812,
1.175310769,2,0,-1.104066619,2.07124415,
1.194147178,2,0,-0.914999119,2.279148059,
1.450956534,2,0,-0.734700248,2.716256286,
1.303911295,2,0,-0.550937342,2.752973954,
1.446365455,2,0,-0.392608067,3.053757388,
1.383338157,2,0,-0.247775641,3.135562516,
1.300738451,2,3.5,-0.117285005,6.683453445,turn fan on
1.457083563,2,3.5,-0.019859997,6.937223566,
1.319990601,2,3.5,0,6.819990601,
1.298893263,2,3.5,0,6.798893263,
1.411957037,2,3.5,0,6.911957037,
1.108944422,2,3.5,0,6.608944422,
1.324681599,2,3.5,0,6.824681599,turn fan off
1.128400839,2,0,0,3.128400839,
1.454947288,0,0,0,1.454947288,turn light off
1.103011931,0,0,0,1.103011931,
1.017664434,0,0,0,1.017664434,
1.391139018,0,0,0,1.391139018,
1.058694378,0,0,0,1.058694378,
1.474438928,0,0,0,1.474438928,
1.200545037,0,0,0,1.200545037,
1.009517021,0,0,0,1.009517021,
1.085988775,0,0,0,1.085988775,
1.211049222,0,0,0,1.211049222,
1.432512812,0,0,0,1.432512812,
1.315837794,0,0,0,1.315837794,
