base,light,fan,solar,net,event
1.1817013386,0,0,0,1.1817013386,
1.2812519938,0,0,0,1.2812519938,
1.3212156879,0,0,0,1.3212156879,
1.2856393092,0,0,0,1.2856393092,
1.4322343533,0,0,0,1.4322343533,
1.4740073618,0,0,0,1.4740073618,
1.1131168131,0,0,0,1.1131168131,
1.3862520271,0,0,0,1.3862520271,
1.3511660305,0,0,0,1.3511660305,
1.4047476541,0,0,0,1.4047476541,
1.0550605575,0,0,0,1.0550605575,
1.2180450462,0,0,0,1.2180450462,
1.180230836,0,0,0,1.180230836,
1.4408244977,0,0,0,1.4408244977,
1.1190099859,0,0,0,1.1190099859,
1.4401261679,0,0,0,1.4401261679,
1.3707802433,0,0,0,1.3707802433,
1.2545867653,0,0,0,1.2545867653,
1.2306501306,0,0,0,1.2306501306,
1.3272143078,0,0,0,1.3272143078,
1.1949086927,0,0,0,1.1949086927,
1.2091850946,0,0,0,1.2091850946,
1.2450257308,0,0,-0.0294440211,1.2155817097,
1.2199854133,0,0,-0.1883106331,1.0316747802,
1.4591109499,2,0,-0.3253549864,3.1337559636,turn light on
1.3258493528,2,0,-0.4569705959,2.8688787569,
1.225759105,2,0,-0.6257594084,2.5999996967,
1.1467867188,2,0,-0.8028652199,2.3439214989,
1.0241219842,2,0,-0.9926181551,2.0315038291,
1.4614752243,2,0,-1.1839794885,2.2774957357,
1.3693765575,2,0,-1.3744247769,1.9949517806,
1.2828027107,2,0,-1.5660569105,1.7167458002,
1.4912433879,2,0,-1.7504329029,1.740810485,
1.4853220397,2,0,-1.934235328,1.5510867116,
1.0500588085,2,0,-2.110837614,0.9392211945,
1.0208455669,2,0,-2.2671599907,0.7536855762,
1.1746381438,2,0,-2.4248072948,0.749830849,
1.157301549,2,0,-2.5770496717,0.5802518773,
1.3816508181,2,0,-2.7435954448,0.6380553734,
1.222325049,2,0,-2.8873553603,0.3349696888,
1.2162198243,2,0,-3.007423096,0.2087967283,
1.4369430446,2,0,-3.099417775,0.3375252695,
1.2778940672,2,0,-3.2159838928,0.0619101745,
1.2826146933,2,0,-3.2449470966,0.0376675967,
1.3560939288,2,0,-3.0603529269,0.2957410019,
1.4157318075,2,0,-3.362187105,0.0535447026,
1.3956509559,2,0,-3.4915134466,-0.0958624906,
1.4625925497,2,0,-3.3115128625,0.1510796872,
1.0612140837,2,3.5,-3.0939354632,3.4672786205,turn fan on
1.3118984253,2,3.5,-2.9606359635,3.8512624618,
1.0423469708,2,3.5,-3.5618347762,2.9805121946,
1.1044816847,2,3.5,-3.4162628069,3.1882188779,turn fan off
1.0522075006,2,0,-2.2380092883,0.8141982123,
1.4677708439,2,0,-1.5683158176,1.8994550263,
1.2822868271,2,3.5,-3.4203339836,3.3619528435,turn fan on
1.1953899655,2,3.5,-3.3369434116,3.3584465539,
1.3499478843,2,3.5,-3.2684263423,3.581521542,
1.2739073843,2,3.5,-3.1496042202,3.6243031641,
1.2597311066,2,3.5,-3.0650632417,3.6946678649,
1.272237666,2,3.5,-2.9348031557,3.8374345103,
1.2188087196,2,3.5,-2.7995193455,3.919289374,
1.093355477,2,3.5,-2.6638821934,3.9294732835,
1.2142698812,2,3.5,-2.5221747812,4.1920951,
1.2574996521,2,3.5,-2.3676445576,4.3898550945,
1.2290240583,2,3.5,-2.1990853278,4.5299387305,
1.3098118902,2,3.5,-2.0279070486,4.7819048416,
1.2730811461,2,3.5,-1.8462136177,4.9268675284,
1.0053634031,2,3.5,-1.6636895554,4.8416738477,
1.1496980107,2,3.5,-1.4791087567,5.170589254,
1.0920240502,2,3.5,-1.2937839439,5.2982401063,
1.3363670439,2,3.5,-1.1040666189,5.732300425,
1.2948903583,2,3.5,-0.9149991187,5.8798912396,turn fan off
1.2758725242,2,0,-0.7347002475,2.5411722767,
1.3430781188,2,0,-0.5509373415,2.7921407773,
1.2058230334,2,0,-0.3926080668,2.8132149666,
1.1604903069,2,0,-0.2477756409,2.912714666,
1.1080008821,2,0,-0.1172850055,2.9907158766,
1.1638396248,2,0,-0.0198599967,3.1439796281,
1.0135863269,2,0,0,3.0135863269,
1.228697646,2,0,0,3.228697646,
1.0231960504,2,0,0,3.0231960504,
1.4469162678,2,0,0,3.4469162678,
1.3502951189,2,0,0,3.3502951189,
1.2376852829,2,0,0,3.2376852829,
1.0035707663,0,0,0,1.0035707663,turn light off
1.2766838392,0,0,0,1.2766838392,
1.3762467854,0,0,0,1.3762467854,
1.3120354194,0,0,0,1.3120354194,
1.0519318054,0,0,0,1.0519318054,
1.1518303223,0,0,0,1.1518303223,
1.3620562237,0,0,0,1.3620562237,
1.4734372906,0,0,0,1.4734372906,
1.0049742021,0,0,0,1.0049742021,
1.4391144838,0,0,0,1.4391144838,
1.0454181242,0,0,0,1.0454181242,
1.2181628422,0,0,0,1.2181628422,
